 1.498962e+03 5.837108e-04 
  1.362693e+03 1.207294e-03 
  1.249135e+03 2.405611e-03 
  1.153048e+03 4.617803e-03 
  1.070687e+03 8.539700e-03 
  9.993082e+02 1.521413e-02 
  9.368514e+02 2.611255e-02 
  8.817425e+02 4.317662e-02 
  8.327568e+02 6.877733e-02 
  7.889275e+02 1.055454e-01 
  7.494811e+02 1.560382e-01 
  7.137916e+02 2.222387e-01 
  6.813465e+02 3.049339e-01 
  6.517227e+02 4.030782e-01 
  6.245676e+02 5.132987e-01 
  5.995849e+02 6.297213e-01 
  5.765240e+02 7.442588e-01 
  5.551712e+02 8.474166e-01 
  5.353437e+02 9.295383e-01 
  5.168835e+02 9.822792e-01 
  4.996541e+02 1 
  4.835362e+02 9.807592e-01 
  4.684257e+02 9.266638e-01 
  4.542310e+02 8.434888e-01 
  4.408713e+02 7.396628e-01 
  4.282749e+02 6.248642e-01 
  4.163784e+02 5.085514e-01 
  4.051249e+02 3.987323e-01 
  3.944638e+02 3.011795e-01 
  3.843493e+02 2.191627e-01 
  3.747406e+02 1.536404e-01 
  3.656006e+02 1.037627e-01 
  3.568958e+02 6.751103e-02 
  3.485959e+02 4.231609e-02 
  3.406732e+02 2.555251e-02 
  3.331027e+02 1.486480e-02 
  3.258614e+02 8.330708e-03 
  3.189281e+02 4.497820e-03 
  3.122838e+02 2.339482e-03 
  3.059107e+02 1.172289e-03 
  2.997925e+02 5.659093e-04 
  2.939142e+02 2.631822e-04 
  2.882620e+02 1.179135e-04 
  2.828231e+02 5.089415e-05 
  2.775856e+02 2.116263e-05 
  2.725386e+02 8.477517e-06 
  2.676718e+02 3.271637e-06 
  2.629758e+02 1.216351e-06 
  2.584418e+02 4.356624e-07 
  2.540614e+02 1.503276e-07 
  2.498270e+02 4.997174e-08 
 
